steps,acor_times,accept_fracs,max_log_probs
50,5.260849463140755,0.15227272727272728,-2653.6532988053705
100,10.551965686843948,0.1990909090909091,-2221.0620774070217
150,16.270491195472296,0.2043939393939394,-2122.3792772904326
200,22.16476303603839,0.20075757575757575,-2073.580662343084
250,28.35759405348786,0.21833333333333332,-2059.785205261454
300,34.159473701175585,0.26666666666666666,-2057.3706588750533
350,39.61038906391001,0.3283333333333333,-2057.416264502736
400,44.68738267430222,0.3618181818181818,-2057.189931253877
450,49.13231942463778,0.36424242424242426,-2057.2995062186715
500,53.221806420993154,0.3362121212121212,-2056.8882517195593
550,56.99078700214317,0.3956060606060606,-2057.131066946918
600,60.44435415532883,0.413030303030303,-2057.009274572407
650,63.558329366610224,0.4131818181818182,-2057.6606430525408
700,66.43860146741905,0.4246969696969697,-2057.149179553573
750,68.91638663868746,0.40969696969696967,-2057.238677681234
800,71.2239164047583,0.3406060606060606,-2057.038292212843
850,73.25129976624828,0.3878787878787879,-2057.467991032953
900,75.1539392821532,0.39545454545454545,-2057.10362992135
950,76.80700466977089,0.3665151515151515,-2057.602566919846
1000,78.38360789716496,0.38727272727272727,-2057.618150020498
1050,79.75398175925392,0.3412121212121212,-2057.1831880527466
1100,80.9952279228791,0.41909090909090907,-2057.389556961344
1150,82.14817487816708,0.38212121212121214,-2056.8824152251395
1200,83.20219930678375,0.38984848484848483,-2057.339560274993
1250,84.18073322856854,0.3416666666666667,-2057.0862142249503
1300,85.09273746217492,0.3184848484848485,-2057.4380575032064
1350,85.89310161479573,0.34984848484848485,-2057.6424816814906
1400,86.62641140332815,0.37106060606060604,-2057.384328757125
1450,87.3103618456081,0.32681818181818184,-2057.1328507832695
1500,88.00274648727172,0.4262121212121212,-2056.7630520192433
1550,88.65232052370631,0.3531818181818182,-2057.718024286009
1600,89.21855147337214,0.37075757575757573,-2057.116374348374
1650,89.73746635123175,0.3712121212121212,-2057.5664950338332
1700,90.2205957502902,0.33924242424242423,-2057.0411041117236
1750,90.68836066067136,0.4037878787878788,-2057.1792251562624
