steps,acor_times,accept_fracs,max_log_probs
50,5.272315854996413,0.2275438596491228,-4622.2445862377945
100,10.480764145993987,0.2100877192982456,-3902.296007919311
150,15.85005777931251,0.24008771929824563,-3365.713583105244
200,21.535726447413406,0.235,-3134.9475329867146
250,27.232761819855043,0.1669298245614035,-3010.644874876607
300,32.828905045425,0.2257017543859649,-2908.331643477667
350,38.82823599320145,0.3076315789473684,-2863.1581687354023
400,45.070366879494436,0.28482456140350876,-2841.901551175792
450,51.32766924023673,0.32105263157894737,-2828.1730718936797
500,57.379028033671126,0.315,-2821.734806053433
550,63.06392106183616,0.3444736842105263,-2820.5099139266936
600,68.32499281450252,0.298859649122807,-2820.506576688209
650,73.46638758602262,0.3035964912280702,-2820.446682639852
700,78.2616340009552,0.30850877192982457,-2820.867995450443
750,82.79738858108153,0.275,-2821.0579996021743
800,87.1062653304523,0.31763157894736843,-2820.875019136227
850,91.1899456695864,0.3267543859649123,-2820.5654605373834
900,95.1022883678529,0.3118421052631579,-2820.4746175751884
950,98.79005233940741,0.3273684210526316,-2820.5406726681354
1000,102.22770047724413,0.3214035087719298,-2819.901756647497
1050,105.54835061270181,0.3367543859649123,-2821.339108263743
1100,108.64816667541919,0.2876315789473684,-2820.5763427021047
1150,111.61380680004378,0.32605263157894737,-2820.239893947124
1200,114.31004498710249,0.2956140350877193,-2820.141897248494
1250,116.95389366957043,0.3599122807017544,-2820.7065650734357
1300,119.41914136547824,0.3049122807017544,-2820.4405351935234
1350,121.77779078858116,0.3370175438596491,-2820.9287652666712
1400,124.02483311207882,0.3568421052631579,-2820.592670360284
1450,126.1667503240248,0.31350877192982457,-2820.4884828456547
1500,128.20266630050227,0.3214035087719298,-2819.9966982786354
1550,130.10524886922937,0.3106140350877193,-2821.073358700273
1600,131.9096455911929,0.3005263157894737,-2820.9170031355493
1650,133.62384835799912,0.3024561403508772,-2821.373338882717
1700,135.28132594103226,0.31105263157894736,-2820.67385542821
1750,136.8206361152243,0.31798245614035087,-2820.941588938731
1800,138.26004132826824,0.2962280701754386,-2820.888741762442
1850,139.69437316679245,0.3482456140350877,-2820.8280201355874
1900,141.01832197602033,0.32394736842105265,-2820.5795198432556
1950,142.2898516422124,0.27149122807017545,-2820.8378608658036
2000,143.54141377049143,0.29947368421052634,-2820.849201364519
2050,144.717404275892,0.31912280701754386,-2820.666989154934
2100,145.8328825860591,0.27464912280701753,-2821.3876387674304
2150,146.8750223479232,0.28210526315789475,-2820.5598168476336
2200,147.89099250402955,0.2825438596491228,-2820.4852235330814
2250,148.86965912502947,0.30157894736842106,-2820.601309564578
2300,149.81095616034065,0.3244736842105263,-2820.4906601058647
2350,150.64310093300534,0.2968421052631579,-2821.4873379905143
2400,151.45180003119648,0.3017543859649123,-2820.48881631531
2450,152.23939503078492,0.30394736842105263,-2820.7127849426934
2500,153.03377275815492,0.33359649122807017,-2820.601690174532
2550,153.74845763452043,0.3113157894736842,-2821.3663912061343
2600,154.41177361164037,0.3031578947368421,-2821.3437456072656
2650,155.08054563194625,0.3383333333333333,-2820.954754274346
2700,155.70137670684397,0.32552631578947366,-2820.2197374077296
2750,156.2923614093767,0.28868421052631577,-2820.3861754675904
2800,156.87300994114943,0.28675438596491226,-2820.9178210846067
2850,157.43305042887474,0.30736842105263157,-2820.744398825342
2900,157.97009140373493,0.2824561403508772,-2820.888215666408
2950,158.5157350289868,0.3557017543859649,-2820.9934022365255
3000,159.02384577923834,0.31684210526315787,-2820.2274749260687
3050,159.52630964297018,0.3101754385964912,-2820.91531637006
3100,159.9711265919477,0.3,-2820.7450566801526
3150,160.37164282875673,0.3433333333333333,-2820.213123736641
3200,160.77443651695495,0.32456140350877194,-2820.695490360328
3250,161.1499411540203,0.32587719298245615,-2820.8693377822715
3300,161.5193108408598,0.29789473684210527,-2821.4132899286215
3350,161.86436095288605,0.2799122807017544,-2821.362302451655
3400,162.1990286466928,0.26535087719298245,-2820.525579088412
3450,162.5438146536921,0.26938596491228073,-2820.93417042564
3500,162.8806724985885,0.26728070175438595,-2821.38885136093
3550,163.1932722115147,0.30105263157894735,-2821.342522074002
3600,163.4802103649401,0.25894736842105265,-2820.54363049684
3650,163.75746559364697,0.2907017543859649,-2820.623606474571
3700,164.0287191168231,0.33166666666666667,-2820.3296014291213
3750,164.29646655522356,0.3323684210526316,-2820.825697275379
3800,164.5659017642425,0.3064912280701754,-2820.2833970795714
3850,164.83197434460234,0.32824561403508773,-2820.1043625268
3900,165.08997941354212,0.321140350877193,-2820.1209193413224
3950,165.33889995707736,0.30236842105263156,-2820.1596797605725
4000,165.5874043858283,0.30140350877192984,-2820.773612837227
4050,165.83302829998829,0.2993859649122807,-2821.0615534470535
4100,166.04316099541975,0.3192982456140351,-2820.6192738511922
4150,166.25389444227594,0.31166666666666665,-2820.611287346812
4200,166.44320434688663,0.3246491228070175,-2820.625766891427
4250,166.62472034801132,0.32649122807017544,-2820.864665221926
4300,166.81201648193948,0.3193859649122807,-2820.956316166895
4350,166.99605078402595,0.32210526315789473,-2820.6865200549496
4400,167.14610171514576,0.2993859649122807,-2820.2955971140627
4450,167.30251650247988,0.3193859649122807,-2820.501174811344
4500,167.4570976190802,0.2825438596491228,-2820.813251643834
4550,167.60089575874758,0.26982456140350874,-2821.4447808349723
4600,167.75776274805798,0.3394736842105263,-2820.322456163133
4650,167.9047649385336,0.31719298245614036,-2820.5514437052293
4700,168.04536044449173,0.2942982456140351,-2820.3335533610034
4750,168.17520535004928,0.311140350877193,-2819.9185290699093
4800,168.29935681723236,0.2892982456140351,-2821.065239840088
4850,168.42751491855205,0.3267543859649123,-2820.6148074786356
4900,168.56002101188528,0.30815789473684213,-2820.319366455515
4950,168.68095275754072,0.3564912280701754,-2820.5685639409658
5000,168.78207591148256,0.30464912280701756,-2820.283501758047
5050,168.90427736582362,0.3095614035087719,-2820.914467894564
5100,169.0171456617214,0.3371929824561404,-2820.1639473317987
5150,169.11778183414037,0.3144736842105263,-2820.584588483071
5200,169.21092904994333,0.3306140350877193,-2820.4054268779278
5250,169.31594908992477,0.3631578947368421,-2820.2652873964425
5300,169.4073446684659,0.3159649122807018,-2820.5201152344007
5350,169.5035904384681,0.3218421052631579,-2820.9811636207
5400,169.59650284020438,0.3425438596491228,-2820.4041626008525
5450,169.68971243176938,0.3435964912280702,-2821.0662839945758
5500,169.75651657038463,0.3125438596491228,-2821.085852174199
5550,169.8189876751332,0.33842105263157896,-2820.758461589343
5600,169.88552318231388,0.3117543859649123,-2821.0209563381422
5650,169.9622857907506,0.2894736842105263,-2820.809419201906
5700,170.0519897566553,0.3436842105263158,-2820.1812394144886
5750,170.1277037456119,0.3357894736842105,-2820.767422685768
5800,170.1844743237027,0.31008771929824563,-2820.6109668788117
5850,170.23745593926964,0.28789473684210526,-2820.570519231011
5900,170.30278609609678,0.33842105263157896,-2820.079271422099
5950,170.36655594391385,0.31657894736842107,-2820.929004454836
6000,170.409902593434,0.2876315789473684,-2820.8555963232093
6050,170.44997851181222,0.3192982456140351,-2820.7439582513553
6100,170.48642080488685,0.3342982456140351,-2820.670611957283
6150,170.52797098180704,0.32070175438596493,-2820.3899178886927
6200,170.57908399531746,0.34517543859649125,-2819.861064759769
6250,170.62450843327287,0.3067543859649123,-2821.222936818709
6300,170.65865896370542,0.2912280701754386,-2820.5012996306514
6350,170.69696149885283,0.29578947368421055,-2820.443745243102
6400,170.72595756022278,0.29017543859649125,-2821.3499308382766
6450,170.75048161452895,0.32780701754385966,-2820.3853306506303
6500,170.77747761741466,0.29771929824561405,-2820.419814127308
6550,170.80133974863082,0.32052631578947366,-2820.2204795801167
6600,170.83266127732068,0.3404385964912281,-2821.088120000778
6650,170.860550433835,0.30508771929824563,-2820.6641718104333
6700,170.9028260104932,0.29482456140350877,-2820.585703084327
6750,170.9289762778256,0.31877192982456143,-2820.8823333303776
6800,170.94961131401092,0.32421052631578945,-2820.9648589652224
6850,170.96278020287392,0.3037719298245614,-2820.910841259173
6900,170.98541522824183,0.32552631578947366,-2821.1170011414974
6950,170.99281379180493,0.3452631578947368,-2820.9227768460332
7000,170.99871325428126,0.3148245614035088,-2821.4901104771425
7050,171.01318553167275,0.3473684210526316,-2820.205815151867
7100,171.03761969024245,0.3886842105263158,-2820.3582162406447
7150,171.04899003649243,0.27824561403508774,-2820.9483162517017
7200,171.0679703820857,0.30298245614035085,-2820.9071818978105
7250,171.08436709488063,0.3414035087719298,-2820.196967544907
7300,171.10413378267893,0.33596491228070174,-2820.4749623207285
7350,171.11600485611282,0.3113157894736842,-2821.4125077817184
7400,171.12374668136977,0.3140350877192982,-2820.730215330083
7450,171.13787349117675,0.3371929824561404,-2820.3937779176485
7500,171.13639142006986,0.3000877192982456,-2820.4347580876274
7550,171.13424474896047,0.3256140350877193,-2820.394078427751
7600,171.12299678679602,0.2582456140350877,-2821.2673268385834
7650,171.12980171429462,0.31508771929824564,-2821.1170642026286
7700,171.13469719894218,0.30289473684210527,-2820.6644729876184
7750,171.13277024202426,0.31333333333333335,-2820.7046006116666
7800,171.14248219833078,0.35850877192982455,-2820.2904285318855
7850,171.13237576848732,0.3256140350877193,-2820.114651637008
7900,171.11432791879147,0.32035087719298244,-2820.641191884489
7950,171.12050210925685,0.3500877192982456,-2820.675883781677
8000,171.119318082242,0.32026315789473686,-2820.787933399922
8050,171.10975506040253,0.31684210526315787,-2820.494338962752
8100,171.1008174967153,0.3035964912280702,-2821.5037749727867
8150,171.10097254181082,0.35543859649122805,-2820.4400360724085
8200,171.1043255654533,0.3312280701754386,-2819.948066230276
8250,171.10148867630727,0.35605263157894734,-2820.111411021312
8300,171.09880152693896,0.3215789473684211,-2821.2469017587914
8350,171.09395209342404,0.33245614035087717,-2820.537849220266
8400,171.07566080000427,0.31464912280701757,-2820.5860280492598
8450,171.0529656671672,0.31456140350877193,-2820.185050793347
8500,171.0369817764124,0.33973684210526317,-2820.1093423102016
8550,171.02669695922359,0.3156140350877193,-2820.7369745349015
8600,171.02047323062519,0.3037719298245614,-2819.924905495271
